
Playing:
Episode | Score | Good Fruits | Bad Fruits | Lava 
  1/ 50 | -15.0  |    11   |    21   |  12
  2/ 50 | 111.0  |    26   |    15   |   6
  3/ 50 | -3.0  |    18   |    11   |  20
  4/ 50 |  4.0  |    11   |    27   |   7
  5/ 50 |  9.0  |    17   |    28   |  13
  6/ 50 | 54.0  |    21   |    12   |  12
  7/ 50 | -23.0  |    17   |     5   |  24
  8/ 50 | -18.0  |    11   |    19   |  13
  9/ 50 | -80.0  |     5   |    35   |  15
 10/ 50 | 60.0  |    20   |    20   |   8
 11/ 50 | 66.0  |    27   |    11   |  17
 12/ 50 | 19.0  |    16   |    17   |  12
 13/ 50 | -26.0  |    10   |    21   |  13
 14/ 50 | -56.0  |    11   |    12   |  22
 15/ 50 | -32.0  |    10   |    17   |  15
 16/ 50 | 52.0  |    22   |    15   |  13
 17/ 50 | -57.0  |     9   |    16   |  19
 18/ 50 | 48.0  |    24   |     6   |  18
 19/ 50 | 64.0  |    24   |    15   |  13
 20/ 50 | -36.0  |    14   |    10   |  22
 21/ 50 | 33.0  |    20   |     7   |  16
 22/ 50 | 84.0  |    24   |    10   |  10
 23/ 50 | 127.0  |    28   |    21   |   4
 24/ 50 | 32.0  |    13   |    16   |   6
 25/ 50 | -10.0  |     8   |    28   |   6
 26/ 50 | -27.0  |    17   |     9   |  24
 27/ 50 | -69.0  |     9   |    23   |  20
 28/ 50 | -23.0  |    17   |    10   |  23
 29/ 50 | 142.0  |    32   |    15   |   7
 30/ 50 |  8.0  |    17   |     9   |  17
 31/ 50 | -25.0  |    12   |    17   |  16
 32/ 50 |  7.0  |    17   |    15   |  16
 33/ 50 | -22.0  |    14   |    11   |  19
 34/ 50 |  8.0  |    16   |    28   |  12
 35/ 50 | -15.0  |    15   |    20   |  17
 36/ 50 | -6.0  |    18   |     9   |  21
 37/ 50 | -73.0  |     7   |    20   |  19
 38/ 50 | -13.0  |    15   |    18   |  17
 39/ 50 | 83.0  |    20   |    17   |   4
 40/ 50 | 34.0  |    18   |    19   |  11
 41/ 50 |  2.0  |    15   |    33   |  11
 42/ 50 | 22.0  |    18   |    16   |  14
 43/ 50 | 84.0  |    23   |    19   |   7
 44/ 50 | -63.0  |    13   |    26   |  23
 45/ 50 | 19.0  |    18   |    24   |  13
 46/ 50 | -2.0  |    16   |    28   |  14
 47/ 50 | 24.0  |    19   |    20   |  14
 48/ 50 | 183.0  |    37   |     9   |   6
 49/ 50 | 74.0  |    25   |    11   |  13
 50/ 50 | 47.0  |    17   |    20   |   7

Good Fruits eaten 17.2 +/- 6.4
Bad Fruits eaten 17.2 +/- 7.0
Lava eaten 14.0 +/- 5.5
Final Score 16.1 +/- 56.0

