Episode | Score | Good Fruits | Bad Fruits | Lava 
  1/ 50 | -166.0  |     9   |    30   |  38
  2/ 50 | -33.0  |    31   |    39   |  36
  3/ 50 | 120.0  |    40   |    35   |  17
  4/ 50 |  6.0  |    27   |    46   |  22
  5/ 50 | 25.0  |    31   |    41   |  24
  6/ 50 | -38.0  |    30   |    33   |  37
  7/ 50 | 20.0  |    35   |    25   |  33
  8/ 50 | 28.0  |    33   |    25   |  29
  9/ 50 | -61.0  |    32   |    33   |  44
 10/ 50 | -48.0  |    26   |    39   |  33
 11/ 50 | -8.0  |    34   |    27   |  37
 12/ 50 | 76.0  |    39   |    28   |  26
 13/ 50 | 117.0  |    45   |    28   |  25
 14/ 50 | 39.0  |    38   |    29   |  32
 15/ 50 | -10.0  |    30   |    30   |  32
 16/ 50 | 33.0  |    31   |    38   |  23
 17/ 50 | 68.0  |    42   |    34   |  30
 18/ 50 |  8.0  |    35   |    17   |  37
 19/ 50 | -54.0  |    25   |    44   |  32
 20/ 50 | 102.0  |    42   |    30   |  24
 21/ 50 | -19.0  |    33   |    27   |  38
 22/ 50 | 60.0  |    37   |    37   |  25
 23/ 50 | 12.0  |    30   |    33   |  27
 24/ 50 | 121.0  |    42   |    36   |  19
 25/ 50 | 29.0  |    31   |    27   |  26
 26/ 50 | -72.0  |    22   |    29   |  35
 27/ 50 | -122.0  |    17   |    39   |  37
 28/ 50 | -64.0  |    23   |    27   |  35
 29/ 50 | -8.0  |    30   |    38   |  30
 30/ 50 | -20.0  |    29   |    34   |  32
 31/ 50 | -30.0  |    34   |    34   |  40
 32/ 50 | -89.0  |    21   |    25   |  38
 33/ 50 |  0.0  |    34   |    29   |  35
 34/ 50 | 54.0  |    33   |    34   |  22
 35/ 50 | 42.0  |    38   |    31   |  31
 36/ 50 | 31.0  |    28   |    42   |  19
 37/ 50 | 63.0  |    40   |    22   |  31
 38/ 50 | -21.0  |    25   |    41   |  26
 39/ 50 | -44.0  |    33   |    27   |  43
 40/ 50 | -31.0  |    25   |    31   |  30
 41/ 50 | 19.0  |    33   |    29   |  30
 42/ 50 | -102.0  |    22   |    39   |  39
 43/ 50 | 87.0  |    42   |    30   |  27
 44/ 50 | -8.0  |    30   |    33   |  31
 45/ 50 | -141.0  |    13   |    39   |  36
 46/ 50 | 34.0  |    37   |    28   |  32
 47/ 50 | -41.0  |    24   |    30   |  31
 48/ 50 | -28.0  |    34   |    17   |  43
 49/ 50 | -29.0  |    24   |    33   |  28
 50/ 50 | -15.0  |    32   |    27   |  36

Good Fruits eaten 31.0 +/- 7.4
Bad Fruits eaten 32.0 +/- 6.2
Lava eaten 31.3 +/- 6.4
Final Score -2.2 +/- 63.5

