Episode | Score | Good Fruits | Bad Fruits | Lava 
  1/ 50 | -13.0  |    26   |    34   |  27
  2/ 50 | -64.0  |    29   |    33   |  41
  3/ 50 | 92.0  |    37   |    40   |  18
  4/ 50 | -66.0  |    28   |    34   |  40
  5/ 50 | 35.0  |    34   |    34   |  27
  6/ 50 | 42.0  |    36   |    34   |  28
  7/ 50 | -17.0  |    33   |    30   |  37
  8/ 50 | 96.0  |    39   |    33   |  21
  9/ 50 | -62.0  |    23   |    40   |  32
 10/ 50 | 49.0  |    33   |    34   |  23
 11/ 50 | 97.0  |    38   |    31   |  20
 12/ 50 | -61.0  |    28   |    39   |  38
 13/ 50 | 102.0  |    41   |    34   |  22
 14/ 50 | -5.0  |    33   |    23   |  36
 15/ 50 | -46.0  |    26   |    37   |  33
 16/ 50 |  0.0  |    30   |    35   |  29
 17/ 50 | -40.0  |    27   |    27   |  35
 18/ 50 | -14.0  |    26   |    25   |  29
 19/ 50 | -128.0  |    20   |    33   |  43
 20/ 50 | -19.0  |    33   |    32   |  37
 21/ 50 | -41.0  |    22   |    38   |  27
 22/ 50 | -102.0  |    23   |    35   |  41
 23/ 50 | 99.0  |    45   |    26   |  29
 24/ 50 | 134.0  |    41   |    32   |  16
 25/ 50 | 48.0  |    36   |    28   |  28
 26/ 50 | -42.0  |    27   |    39   |  33
 27/ 50 | 97.0  |    37   |    35   |  18
 28/ 50 | 63.0  |    39   |    36   |  27
 29/ 50 | -78.0  |    28   |    26   |  44
 30/ 50 | -30.0  |    32   |    27   |  39
 31/ 50 | 22.0  |    31   |    24   |  28
 32/ 50 | 52.0  |    37   |    30   |  28
 33/ 50 | 32.0  |    32   |    35   |  25
 34/ 50 | -168.0  |    17   |    30   |  48
 35/ 50 | 120.0  |    42   |    22   |  22
 36/ 50 | -26.0  |    36   |    32   |  42
 37/ 50 | 32.0  |    30   |    43   |  21
 38/ 50 |  7.0  |    33   |    36   |  31
 39/ 50 | 64.0  |    41   |    32   |  30
 40/ 50 | -18.0  |    31   |    34   |  34
 41/ 50 | -67.0  |    27   |    34   |  39
 42/ 50 | 49.0  |    35   |    36   |  25
 43/ 50 | 31.0  |    37   |    21   |  34
 44/ 50 | 11.0  |    32   |    36   |  29
 45/ 50 | -21.0  |    28   |    29   |  32
 46/ 50 | -38.0  |    25   |    23   |  33
 47/ 50 | -3.0  |    34   |    32   |  35
 48/ 50 | -129.0  |    22   |    41   |  44
 49/ 50 | -1.0  |    33   |    34   |  33
 50/ 50 | 32.0  |    34   |    32   |  28

Good Fruits eaten 31.7 +/- 6.1
Bad Fruits eaten 32.4 +/- 5.1
Lava eaten 31.2 +/- 7.5
Final Score 2.1 +/- 67.0

